Date,Price,Volume,Fluct
2000-01-11,981.33,257070000.0,-0.006
2000-01-12,955.01,227080000.0,-0.0268
2000-01-13,951.05,223000000.0,-0.0040999999999999995
2000-01-14,948.03,224960000.0,-0.0032
2000-01-17,983.27,212060000.0,0.037200000000000004
2000-01-18,981.53,212080000.0,-0.0018
2000-01-19,938.78,235730000.0,-0.0436
2000-01-20,945.9,226680000.0,0.0076
2000-01-21,925.16,255140000.0,-0.0219
2000-01-24,926.77,210410000.0,0.0017000000000000001
2000-01-25,891.22,242590000.0,-0.0384
2000-01-26,885.54,231150000.0,-0.0064
2000-01-27,909.23,344910000.0,0.0268
2000-01-28,941.67,293140000.0,0.035699999999999996
2000-01-31,943.88,289440000.0,0.0023
2000-02-01,928.75,306140000.0,-0.016
2000-02-02,943.59,310410000.0,0.016
2000-02-03,950.22,277120000.0,0.006999999999999999
2000-02-07,973.13,271760000.0,0.0241
2000-02-08,961.22,229490000.0,-0.012199999999999999
2000-02-09,976.05,240450000.0,0.0154
2000-02-10,966.18,251620000.0,-0.0101
2000-02-11,953.22,274780000.0,-0.0134
2000-02-14,910.87,234180000.0,-0.0444
2000-02-15,879.7,218600000.0,-0.0342
2000-02-16,879.5,214050000.0,-0.0002
2000-02-17,897.52,212420000.0,0.020499999999999997
2000-02-18,879.14,258279999.99999997,-0.020499999999999997
2000-02-21,845.32,213800000.0,-0.0385
2000-02-22,850.02,244390000.0,0.005600000000000001
2000-02-23,880.67,346450000.0,0.0361
2000-02-24,867.37,256690000.0,-0.0151
2000-02-25,864.76,255180000.0,-0.003
2000-02-28,819.01,253120000.0,-0.0529
2000-02-29,828.38,275730000.0,0.011399999999999999
2000-03-02,894.66,317750000.0,0.08
2000-03-03,894.83,311250000.0,0.0002
2000-03-06,909.33,352620000.0,0.016200000000000003
2000-03-07,907.34,339280000.0,-0.0022
2000-03-08,915.94,313740000.0,0.0095
2000-03-09,884.59,370030000.0,-0.0342
2000-03-10,891.36,330620000.0,0.0077
2000-03-13,854.66,364400000.0,-0.0412
2000-03-14,846.74,330750000.0,-0.009300000000000001
2000-03-15,837.53,312900000.0,-0.0109
2000-03-16,841.22,298880000.0,0.0044
2000-03-17,855.57,300840000.0,0.0171
2000-03-20,850.51,227940000.0,-0.0059
2000-03-21,863.41,227940000.0,0.0152
2000-03-22,882.43,296030000.0,0.022000000000000002
2000-03-23,867.62,254910000.0,-0.0168
2000-03-24,889.24,281930000.0,0.024900000000000002
2000-03-27,886.71,282360000.0,-0.0028000000000000004
2000-03-28,891.29,262750000.0,0.0052
2000-03-29,908.51,280750000.0,0.019299999999999998
2000-03-30,889.95,264079999.99999997,-0.0204
2000-03-31,860.94,214730000.0,-0.0326
2000-04-03,846.44,209590000.0,-0.0168
2000-04-04,830.16,203030000.0,-0.0192
2000-04-06,804.35,172970000.0,-0.0311
2000-04-07,837.38,205120000.0,0.041100000000000005
2000-04-10,870.17,325320000.0,0.0392
2000-04-11,855.05,255140000.0,-0.0174
2000-04-12,837.01,213510000.0,-0.021099999999999997
2000-04-14,800.89,229820000.0,-0.0432
2000-04-17,707.72,287740000.0,-0.11630000000000001
2000-04-18,747.3,273030000.0,0.0559
2000-04-19,755.08,292380000.0,0.0104
2000-04-20,761.25,204060000.0,0.008199999999999999
2000-04-21,767.16,202140000.0,0.0078000000000000005
2000-04-24,747.58,176660000.0,-0.0255
2000-04-25,737.2,168480000.0,-0.0139
2000-04-26,713.23,241940000.0,-0.0325
2000-04-27,692.07,224440000.0,-0.0297
2000-04-28,725.39,228150000.0,0.0481
2000-05-02,752.59,195970000.0,0.0375
2000-05-03,752.76,179780000.0,0.0002
2000-05-04,751.29,190230000.0,-0.002
2000-05-08,770.24,195510000.0,0.0252
2000-05-09,760.85,181010000.0,-0.012199999999999999
2000-05-10,759.51,193570000.0,-0.0018
2000-05-12,740.3,189060000.0,-0.0253
2000-05-15,728.67,193280000.0,-0.015700000000000002
2000-05-16,746.77,172350000.0,0.0248
2000-05-17,727.18,219010000.0,-0.0262
2000-05-18,712.95,201440000.0,-0.0196
2000-05-19,730.68,196290000.0,0.024900000000000002
2000-05-22,691.61,176620000.0,-0.0535
2000-05-23,679.76,211390000.0,-0.0171
2000-05-24,674.95,289350000.0,-0.0070999999999999995
2000-05-25,699.53,401990000.0,0.0364
2000-05-26,656.66,350450000.0,-0.0613
2000-05-29,655.93,309610000.0,-0.0011
2000-05-30,691.26,389660000.0,0.053899999999999997
2000-05-31,731.88,503780000.0,0.0588
2000-06-01,738.49,314340000.0,0.009000000000000001
2000-06-02,760.69,430570000.0,0.0301
2000-06-05,794.21,464380000.0,0.0441
2000-06-07,822.54,493500000.0,0.035699999999999996
2000-06-08,800.11,669050000.0,-0.0273
2000-06-09,836.4,506780000.0,0.0454
2000-06-12,845.81,516740000.0,0.0113
2000-06-13,804.45,426600000.0,-0.0489
2000-06-14,819.27,438190000.0,0.0184
2000-06-15,770.95,380640000.0,-0.059000000000000004
2000-06-16,759.04,317140000.0,-0.0154
2000-06-19,755.38,270290000.0,-0.0048
2000-06-20,785.32,340770000.0,0.039599999999999996
2000-06-21,781.87,529240000.0,-0.0044
2000-06-22,782.24,369640000.0,0.0005
2000-06-23,778.94,261850000.00000003,-0.0042
2000-06-26,791.55,286730000.0,0.016200000000000003
2000-06-27,809.87,465830000.0,0.0231
2000-06-28,818.73,500100000.0,0.0109
2000-06-29,818.9,338970000.0,0.0002
2000-06-30,821.22,462870000.0,0.0028000000000000004
2000-07-03,835.21,440790000.0,0.017
2000-07-04,818.53,439140000.0,-0.02
2000-07-05,830.4,531940000.00000006,0.014499999999999999
2000-07-06,837.63,696040000.0,0.0087
2000-07-07,841.74,569850000.0,0.0049
2000-07-10,851.47,532549999.99999994,0.0116
2000-07-11,836.86,849970000.0,-0.0172
2000-07-12,839.76,466960000.0,0.0034999999999999996
2000-07-13,845.75,477910000.0,0.0070999999999999995
2000-07-14,827.95,366310000.0,-0.021
2000-07-18,812.33,317070000.0,-0.0189
2000-07-19,797.3,442800000.0,-0.018500000000000003
2000-07-20,778.9,426310000.0,-0.0231
2000-07-21,783.06,408140000.0,0.0053
2000-07-24,737.89,393320000.0,-0.057699999999999994
2000-07-25,737.64,352570000.0,-0.0003
2000-07-26,743.84,333090000.0,0.0084
2000-07-27,727.68,255860000.0,-0.0217
2000-07-28,692.65,239030000.0,-0.0481
2000-07-31,705.97,218980000.0,0.0192
2000-08-01,727.1,297940000.0,0.029900000000000003
2000-08-02,728.33,328690000.0,0.0017000000000000001
2000-08-03,722.08,259430000.0,-0.0086
2000-08-04,710.0,221050000.0,-0.0167
2000-08-07,675.59,218360000.0,-0.048499999999999995
2000-08-08,666.08,209180000.0,-0.0141
2000-08-09,710.23,295430000.0,0.0663
2000-08-10,729.28,259930000.0,0.0268
2000-08-11,722.21,300610000.0,-0.0097
2000-08-14,733.25,323610000.0,0.015300000000000001
2000-08-16,751.14,314530000.0,0.024399999999999998
2000-08-17,743.49,317260000.0,-0.0102
2000-08-18,728.32,277080000.0,-0.0204
2000-08-21,722.58,227410000.0,-0.0079
2000-08-22,738.61,302510000.0,0.0222
2000-08-23,719.79,298530000.0,-0.0255
2000-08-24,718.86,293440000.0,-0.0013
2000-08-25,729.8,275530000.0,0.0152
2000-08-28,731.81,271850000.0,0.0028000000000000004
